id,title,project_path,tech_stack,key_decisions,structure,embedding,created_at,updated_at,deleted,project_name
1f552d82-f0e7-4fea-8435-f92b941de608,项目上下文：这看起来是从数据库读出来的真实数据，但数据本身有问题——所有会话的消息数都是0，项目列也是空的。让我...,项目路径,"{Go,PostgreSQL}",[],{},,2026-04-18 09:09:13.703664,2026-05-24 01:13:27.703268,f,IBDPred-Pro
0857d1e0-b748-4e41-a4f0-7c1643aad99c,"项目上下文：前端设计修改已完成！让我总结一下所做的改进：

## 🎨 前端设计优化总结

### 1. **导航...",项目路径,"{Go,PostgreSQL}",[],{},,2026-01-11 09:09:13.724931,2026-05-24 01:13:27.703268,f,DataAnalysis
a1656567-a284-4892-9446-494bd0b6f416,"项目上下文：规划内容结构：

**配色**：Midnight Executive（深蓝 0D1B2A + 青蓝 ...",项目路径,"{Go,PostgreSQL}",[],{},,2026-02-06 09:09:13.742893,2026-05-24 01:13:27.703268,f,AgentMemory
d44f4dc1-0318-4b7b-8f88-6b7a308a1107,"项目上下文：---

答辩PPT已完成！✅ 文件：`晨读晨练签到检测_答辩PPT_v2.pptx`（613KB，...",项目路径,"{Vue3,Vite,TypeScript}",[],{},,2026-04-24 09:09:13.74538,2026-05-24 01:13:27.703268,f,CodeReview
b99b4164-265b-4c91-90dc-b553dfb0d7c6,"项目上下文：全部完成！总结一下：

---

## ✅ 对话功能已实现

### 新增文件
| 文件 | 说明 ...",项目路径,"{React,Node.js,MongoDB}",[],{},,2026-03-12 09:09:13.912823,2026-05-24 01:13:27.703268,f,CodeReview
ce693a99-fb3b-450f-85ee-b1c49fefde01,项目上下文：Docker 数据库正常，但后端和前端都没运行。让我检查一下 embedding 服务，然后启动项目...,项目路径,"{Vue3,Vite,TypeScript}",[],{},,2025-12-03 09:09:13.961948,2026-05-24 01:13:27.703268,f,IBDPred-Pro
226e2482-878e-41e7-add4-9f86793b6d22,"项目上下文：项目验证完毕，一切正常！以下是当前状态总结：

---

## ✅ AgentMemory 项目运行...",项目路径,"{Go,PostgreSQL}",[],{},,2026-04-17 09:09:13.969966,2026-05-24 01:13:27.703268,f,DataAnalysis
2c63dd53-ef99-412d-b22f-69e6e350a58c,"项目上下文：发现关键信息了：

1. **Claude 有 39 个顶层 JSONL 文件**（不含 subag...",项目路径,"{React,Node.js,MongoDB}",[],{},,2026-02-09 09:09:14.022156,2026-05-24 01:13:27.703268,f,SignInDetect
b79382bf-733c-4ae5-8fca-79f2281f305c,"项目上下文：报告已经生成，这里快速总结一下核心内容 👇

---

## 📋 调研结论

我参考了 GitHub...",项目路径,"{Java,PostgreSQL,Vue3}",[],{},,2025-12-06 09:09:14.032561,2026-05-24 01:13:27.703268,f,AgentMemory
aa73630e-186f-48b9-8d2f-27be3594e9b9,项目上下文：目前这个项目里收录的对话记录比较少，能不能把我之前的都存进去，另外目前用的是那个数据库？...,项目路径,"{Python,CLIP,PyTorch}",[],{},,2026-03-31 09:09:14.331457,2026-05-24 01:13:27.703268,f,IBDPred-Pro
8285c787-fdf1-4713-9eb2-89f0c9747f20,"项目上下文：目前项目使用 **PostgreSQL** 数据库：
- JDBC URL: `jdbc:postg...",项目路径,"{React,Node.js,MongoDB}",[],{},,2026-02-08 09:09:14.332204,2026-05-24 01:13:27.703268,f,AgentMemory
dded62f7-ac61-43e3-8949-abb2f3f1bed2,"项目上下文：这个项目的设计确实是**自动获取**会话记录。运行 `start.bat` 会：

1. 启动 Po...",项目路径,"{React,Node.js,MongoDB}",[],{},,2026-03-27 09:09:14.333149,2026-05-24 01:13:27.703268,f,AgentMemory
fdb95dd3-e58e-4c97-8b39-2e257f0a4f8f,"项目上下文：探索 frontend/ 目录，了解：
1. 使用的框架（React/Vue/其他）
2. 路由结构...",项目路径,"{Java,PostgreSQL,Vue3}",[],{},,2025-12-09 09:09:14.34307,2026-05-24 01:13:27.703268,f,CodeReview
78db2584-efbf-42e8-90a8-f77b56b3a98e,"项目上下文：## Frontend 技术栈分析

### 1. 框架
- **Vue 3** + Composi...",项目路径,"{Python,FastAPI,Vue3}",[],{},,2026-04-23 09:09:14.344065,2026-05-24 01:13:27.703268,f,DataAnalysis
68c6c3bc-cd10-4899-b6a7-70b39b148a7d,项目上下文：我来先探索项目的前端结构，了解现有技术栈和配置方式。...,项目路径,"{Python,CLIP,PyTorch}",[],{},,2026-01-16 09:09:14.344705,2026-05-24 01:13:27.703268,f,SignInDetect
6d903f8a-cb4a-4d29-adb0-c3c30359f5fc,"项目上下文：先停止后端，重新启动测试：

```
start.bat
```

然后在浏览器打开 http://...",项目路径,"{Java,PostgreSQL,Vue3}",[],{},,2026-02-28 09:09:14.351556,2026-05-24 01:13:27.703268,f,IBDPred-Pro
726eecce-3d0a-4c6f-806b-fda6af6e3468,"项目上下文：太好了！所有服务都在运行：

---

## ✅ 所有服务状态

| 端口 | 服务 | 状态 | ...",项目路径,"{Python,FastAPI,Vue3}",[],{},,2026-01-07 09:09:14.412901,2026-05-24 01:13:27.703268,f,IBDPred-Pro
a3f5c0fe-971c-441a-8421-7b14a96fc615,"项目上下文：现在我了解了项目结构。这是一个**最短路删边问题**的算法教学视频，包含5个场景：

| 场景 | ...",项目路径,"{Python,FastAPI,Vue3}",[],{},,2025-12-04 09:09:14.418935,2026-05-24 01:13:27.703268,f,CodeReview
390ff1ea-b2ad-4204-956a-a09e4f5f0e80,"项目上下文：**🎉 专业时间轴编辑器已创建！**

---

## 📁 现在你有三个编辑器

| 编辑器 | 位...",项目路径,"{Vue3,Vite,TypeScript}",[],{},,2026-03-03 09:09:14.422185,2026-05-24 01:13:27.703268,f,SignInDetect
bf37c0cf-81be-4e25-8552-1541cdd82cab,"项目上下文：**✅ Remotion Audio Skill 已创建！**

---

## 🎯 现在你有一个通...",项目路径,"{Python,CLIP,PyTorch}",[],{},,2026-01-27 09:09:14.423702,2026-05-24 01:13:27.703268,f,SignInDetect
2d8282bb-bda3-4075-8995-112651aeffda,"项目上下文：完美！现在已经集成了。让我为你总结一下：

**✅ 完成！现在编辑器已直接集成在 Remotion ...",项目路径,"{Python,CLIP,PyTorch}",[],{},,2026-04-18 09:09:14.427663,2026-05-24 01:13:27.703268,f,AgentMemory
3fc25586-62f3-4e0e-acce-242884399609,"项目上下文：这个自动化音频生成系统是**可复用的通用方案**，不仅限于这一个项目！

## 🎯 通用架构

我创...",项目路径,"{Go,PostgreSQL}",[],{},,2026-03-15 09:09:14.429382,2026-05-24 01:13:27.703268,f,SwordFormation
58535de6-5a6f-4052-98c2-9b2b0b3fe502,"项目上下文：现在让我详细总结这两个项目的功能和结构差异。

## 项目分析总结

### 1. **Remoti...",项目路径,"{React,Node.js,MongoDB}",[],{},,2026-02-15 09:09:14.432358,2026-05-24 01:13:27.703268,f,SignInDetect
92d3f692-553e-4386-91db-b2804312f1ef,"项目上下文：## 项目结构概览

基于我的探索，这是一个基于 **Remotion** 的算法讲解视频生成项目。...",项目路径,"{React,Node.js,MongoDB}",[],{},,2025-12-05 09:09:14.43413,2026-05-24 01:13:27.703268,f,AgentMemory
c092b987-1e52-4d81-8316-1c9573de593b,"项目上下文：探索 UI 组件和设置相关的实现：

1. 检查项目中是否已有类似的菜单/面板组件
2. 查看 `s...",项目路径,"{React,Node.js,MongoDB}",[],{},,2025-12-04 09:09:14.449265,2026-05-24 01:13:27.703268,f,IBDPred-Pro
d1821da7-d28c-47f5-8253-825fa03a8dc8,项目上下文：我来帮你探索这个项目中 UI 组件和设置相关的实现。让我开始搜索相关文件。...,项目路径,"{Python,CLIP,PyTorch}",[],{},,2026-02-23 09:09:14.450089,2026-05-24 01:13:27.703268,f,AgentMemory
67cf7a7e-f562-4840-8b0f-3d19ae186bfa,"项目上下文：根据你项目中的代码，我整理出Spring常用注解的中文注释对照表：

## Spring 常用注解速...",项目路径,"{Python,CLIP,PyTorch}",[],{},,2026-01-21 09:09:14.513146,2026-05-24 01:13:27.703268,f,IBDPred-Pro
